antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'改错', '时俗'})","frozenset({'固', '工巧'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'时俗', '工巧'})","frozenset({'固', '改错'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'固', '规矩'})","frozenset({'改错', '时俗'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'固', '改错'})","frozenset({'规矩', '时俗'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'规矩', '时俗'})","frozenset({'固', '改错'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'改错', '时俗'})","frozenset({'固', '规矩'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'固', '改错', '工巧'})","frozenset({'规矩', '时俗'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'固', '时俗', '工巧'})","frozenset({'规矩', '改错'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'固', '规矩', '工巧'})","frozenset({'时俗', '改错'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'时俗', '改错', '工巧'})","frozenset({'固', '规矩'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'规矩', '时俗', '工巧'})","frozenset({'固', '改错'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'固', '时俗', '改错'})","frozenset({'规矩', '工巧'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'固', '规矩', '改错'})","frozenset({'时俗', '工巧'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'固', '规矩', '时俗'})","frozenset({'改错', '工巧'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'规矩', '时俗', '改错'})","frozenset({'固', '工巧'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'固', '工巧'})","frozenset({'规矩', '时俗', '改错'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'改错', '工巧'})","frozenset({'固', '规矩', '时俗'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'时俗', '工巧'})","frozenset({'固', '规矩', '改错'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'规矩', '工巧'})","frozenset({'固', '时俗', '改错'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'固', '改错'})","frozenset({'规矩', '时俗', '工巧'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'固', '规矩'})","frozenset({'时俗', '改错', '工巧'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'时俗', '改错'})","frozenset({'固', '规矩', '工巧'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'规矩', '改错'})","frozenset({'固', '时俗', '工巧'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'规矩', '时俗'})","frozenset({'固', '改错', '工巧'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'民生', '有所'})",frozenset({'各'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'各'}),"frozenset({'民生', '有所'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'媛'}),frozenset({'嬃'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'嬃'}),frozenset({'媛'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'媛', '女'})",frozenset({'嬃'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'嬃', '女'})",frozenset({'媛'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'媛'}),"frozenset({'嬃', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'嬃'}),"frozenset({'媛', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'婵'}),frozenset({'嬃'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'嬃'}),frozenset({'婵'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'婵'}),frozenset({'媛'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'媛'}),frozenset({'婵'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'婵', '媛'})",frozenset({'嬃'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'婵', '嬃'})",frozenset({'媛'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'媛', '嬃'})",frozenset({'婵'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'婵'}),"frozenset({'媛', '嬃'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'媛'}),"frozenset({'婵', '嬃'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'嬃'}),"frozenset({'婵', '媛'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'婵', '女'})",frozenset({'嬃'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'嬃', '女'})",frozenset({'婵'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'婵'}),"frozenset({'嬃', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'嬃'}),"frozenset({'婵', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'婵', '女'})",frozenset({'媛'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'媛', '女'})",frozenset({'婵'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'婵'}),"frozenset({'媛', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'媛'}),"frozenset({'婵', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'婵', '媛', '女'})",frozenset({'嬃'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'婵', '嬃', '女'})",frozenset({'媛'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'媛', '嬃', '女'})",frozenset({'婵'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'婵', '媛'})","frozenset({'嬃', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'婵', '嬃'})","frozenset({'媛', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'婵', '女'})","frozenset({'媛', '嬃'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'媛', '嬃'})","frozenset({'婵', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'媛', '女'})","frozenset({'婵', '嬃'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'嬃', '女'})","frozenset({'婵', '媛'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'婵'}),"frozenset({'媛', '嬃', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'媛'}),"frozenset({'婵', '嬃', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'嬃'}),"frozenset({'婵', '媛', '女'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'鲧', '直'})",frozenset({'婞'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'婞'}),"frozenset({'鲧', '直'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'世', '好'})",frozenset({'并举'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'并举'}),"frozenset({'世', '好'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'朋'}),frozenset({'并举'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'并举'}),frozenset({'朋'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'朋', '世'})",frozenset({'并举'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'世', '并举'})",frozenset({'朋'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'朋'}),"frozenset({'世', '并举'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'并举'}),"frozenset({'朋', '世'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'朋', '好'})",frozenset({'并举'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'好', '并举'})",frozenset({'朋'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'朋'}),"frozenset({'好', '并举'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
frozenset({'并举'}),"frozenset({'朋', '好'})",0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
"frozenset({'世', '好'})",frozenset({'朋'}),0.0008798944126704796,0.0008798944126704796,0.0008798944126704796,1.0,1136.5,1.0,0.0008791201984930309,inf,1.0,1.0,1.0,1.0
